Run,Cell,CellLine,s4U,Time,Method,Layout,Strand,Species,Total.Reads,Trimmed.Reads,Trimmed.Reads.Ratio,RiboRNA.Ratio,Clean.Reads,UniqMapped.Reads,UniqMapped.Ratio,Filtered.Reads,Uniq.Reads,Uniq.Ratio,Stranded.Reads,Forward,Reverse,Stranded.Ratio,AC.Ratio,AG.Ratio,AT.Ratio,CA.Ratio,CG.Ratio,CT.Ratio,GA.Ratio,GC.Ratio,GT.Ratio,TA.Ratio,TC.Ratio,TG.Ratio,Protein_coding,Protein_coding.Nascent,lncRNA,lncRNA.Nascent,Pe,Pc,Pc_Pe
20220113_NASCseq_K562,20220113_05_03,K562,50,3.0,NASC-seq,PE,UN,Human,4285670,4258392,0.9936350675623649,0.17541621344394787,3511401,2860890,0.8147431751600003,2502951,1824764,0.7290450352404022,1696577,857578,838999,0.9297514637509289,0.0006875560110712,0.000631363768464,0.0003937632456369,0.0005354812415675,0.0001433435651159,0.000643553260149,0.0005990788933804,0.0002329362607852,0.0008767699016048,0.0006897953971574,0.0137740499187428,0.0010432924125478,6544,4562,548,239,0.0007212450749048,0.0465455869544737,64.53504997675716
20220113_NASCseq_K562,20220113_05_04,K562,50,3.0,NASC-seq,PE,UN,Human,4386451,4361064,0.9942124054275313,0.2695186312331119,3185676,2564058,0.8048709284936698,2211598,1606048,0.7261934583048094,1507109,764315,742794,0.9383959881647372,0.0006415893159868,0.0007976746327308,0.0003632796603566,0.0004786097660652,0.000135934746576,0.0006894001600861,0.0006177936443548,0.0002471849235065,0.0008555719126837,0.0006997137755414,0.0195046611871966,0.0009940477732026,6153,4421,444,209,0.0008251786959099,0.055241667892729,66.94509706386972
20220113_NASCseq_K562,20220113_05_05,K562,50,3.0,NASC-seq,PE,UN,Human,4116601,4087352,0.9928948664201365,0.36964959220541804,2576464,1820858,0.7067275149196729,1681147,1115032,0.6632566931981558,1071100,547803,523297,0.9606002338946327,0.000741480865847,0.0005724775963228,0.0003931627370015,0.0004844454158203,0.0001308237321263,0.0006780441067877,0.0006295684731086,0.0002517829761633,0.0008918668991195,0.0006964708820886,0.0088901716858797,0.0011286655403647,4331,2490,276,115,0.0007127635020058,0.047024953866858,65.97553569244646
20220113_NASCseq_K562,20220113_05_06,K562,50,3.0,NASC-seq,PE,UN,Human,4011831,3985140,0.9933469281233431,0.2224704778251203,3098564,2404849,0.776117259478907,1990150,1344152,0.675402356606286,1304041,675779,628262,0.9701588808408573,0.000736139959771,0.0004286042277262,0.0003843298590343,0.0005809880129059,0.0001362703339447,0.0006289345442209,0.0005623826406608,0.0002367231847015,0.0009741817693805,0.000655616213802,0.005597212835707,0.0010987388972318,3975,1995,201,77,0.0006021493506761,0.0417066824638215,69.26301990857802
20220113_NASCseq_K562,20220113_05_07,K562,50,3.0,NASC-seq,PE,UN,Human,4168277,4139777,0.9931626425019259,0.29241454310220094,2929246,2148827,0.733576831717104,1788954,1215109,0.6792287560216752,1169419,591316,578103,0.9623984350375151,0.0006468833332323,0.0004631316934543,0.0003655870613387,0.0005270798028919,0.0001354825733072,0.0005739363455523,0.0005234626450234,0.0001959632558019,0.0008469453807298,0.0005906357709596,0.0088179510990829,0.0009640822247366,4912,2725,265,124,0.0005892490871466,0.0539836727507057,91.6143510923624
20220113_NASCseq_K562,20220113_05_08,K562,50,3.0,NASC-seq,PE,UN,Human,3563076,3537540,0.9928331587650671,0.22258857850370595,2750124,2229519,0.810697626725195,1764528,1233593,0.6991065032688628,1181914,595801,586113,0.9581069282980691,0.0009175748420776,0.0005011886226696,0.0004055839294598,0.0005703936454847,0.000145543033662,0.0005681217170793,0.0005525946046702,0.0002383296593665,0.0009280425091265,0.0007140128976789,0.0095458385490001,0.0013178130760282,7644,4845,657,269,0.0006168013111602,0.0469836802094184,76.17311986746618
20220113_NASCseq_K562,20220113_07_02,K562,100,3.0,NASC-seq,PE,UN,Human,1676614,1652778,0.9857832512432796,0.3579016661644818,1061246,802236,0.7559378315677986,636833,483277,0.7588755607828112,465511,233303,232208,0.9632384740014526,0.0055260914981343,0.0005988338415678,0.0010849673707713,0.000792592083112,0.0003635788636994,0.0006591322367978,0.0005535837208664,0.0004816678256012,0.0011604373394197,0.0012973336052412,0.0047733139987049,0.0059962251735589,4495,1975,312,94,0.0006936928346073,0.0386801455851206,55.75975944311569
20220113_NASCseq_K562,20220113_07_05,K562,100,3.0,NASC-seq,PE,UN,Human,3831007,3807106,0.9937611703659116,0.2874805692302762,2712637,2019917,0.7446322526751644,1629184,1090585,0.669405665658391,1050870,532329,518541,0.9635837646767561,0.0005820645882016,0.0004375364266307,0.0003231401810123,0.0004686835342176,0.0001289932679483,0.0006395104311276,0.0004945020641241,0.0001872847683385,0.0007056384085879,0.00050214061472,0.0090049467647885,0.0008350807372611,4459,2376,253,102,0.0005860750124095,0.0454714861573127,77.58646110906753
20220113_NASCseq_K562,20220113_07_06,K562,100,3.0,NASC-seq,PE,UN,Human,3655474,3633913,0.9941017225125934,0.28930659594767405,2582598,1890011,0.7318254718697993,1609727,1140408,0.7084480784629941,1094636,563155,531481,0.959863487453613,0.0005878411825818,0.0005401075070887,0.0003193570208026,0.0004260363504249,0.0001217614118425,0.000613793533366,0.0005244130062269,0.0002058246509354,0.0006997366599503,0.0005520565869416,0.0112631719589752,0.0008867939155173,6101,3481,381,174,0.0006402873485824,0.0648941952077495,101.35167491817587
20220113_NASCseq_K562,20220113_07_07,K562,100,3.0,NASC-seq,PE,UN,Human,3226892,3204622,0.9930986224515725,0.2966583890393313,2253944,1608786,0.7137648495259864,1321386,942151,0.7130021053651242,898320,452691,445629,0.9534777333994232,0.0006577628636332,0.0005762623222367,0.0003532686594545,0.0004500601535321,0.0001339044188575,0.0006333207991395,0.0005359417054287,0.0002075261804055,0.0007231032411947,0.0005671498900744,0.0074316567054508,0.000984296617151,5166,2587,381,138,0.0006683818727255,0.0553544107663816,82.81853985754704
